subject,body,label
Outstanding Invoice #74821 – Action Required,"Dear Accounts Team,

Please find attached the unpaid invoice for the recent shipment delivered to your warehouse on September 29. Kindly process the payment within 3 business days to avoid late fees.

Invoice details:

Invoice No.: #74821

Amount Due: AUD $4,780.20

Due Date: October 8, 2025

?? Download Invoice: invoice_74821.exe

If you believe this message was sent in error, please contact billing@fastline-supply.com
 immediately.

Best regards,
Trent Lawson
Billing Department
Fastline Supply Co.
trentlawson@fastlinesupply-bill.net",phishing
"Your mailbox have reach limit, must fix now","Dear user,

You mailbox is full and not able for receive more message. Your current quota is exceeding. We are needing you to fix issue before your email stop working.

Click below link now to continue your message receiving:

?? Fix Quota Limit Now

Failure for do so will cause permanent lost of message.

Thank,
Webmail Technical Team
helpcenter@webmail-checking.com",phishing
Urgent verify is need for safe of your acount,"Hello Dear,

We has detect some danger use of your bank acount from unknow IP address. You must do verify for confirm your identificcation.

Failure in action will have block on access and funds freeze.

Please make sure to click and submit detail very fast:

?? Start Verificating

Best regards,
Acount Protection Officer
ANZZ Bank
alert-department@secure-check-anz.info",phishing
Immediate Action Required: Payment on Hold – Paypa1 Account Alert,"Dear Customer,

We have placed a temporary hold on your Paypa1 account due to a suspicious transaction from an unrecognized device.

To prevent account suspension, please log in to your account and verify the payment details:

?? Verify Payment Now

If no action is taken within 24 hours, your account will be permanently restricted.

Thank you for using Paypa1.
Security Department
Paypa1 Services
support@paypa1-secure.com",phishing
Security Alert: Suspicious Sign-In Attempt Detected,"Hello,

We detected a sign-in attempt on your Netfl!x account from Brisbane, Australia. For your safety, your streaming access has been paused until you confirm this activity.

Confirm your account by visiting the link below:

?? Secure My Netfl!x Account

Failure to confirm may result in your account being disabled.

Thanks,
Netfl!x Member Security Team
netflix.alerts@secure-service-outlook.com",phishing
You’ve Won a $1000 Woolworths Gift Card!,"Congratulations!

You have been randomly selected as the winner of a $1000 Woolworths Digital Gift Card as part of our Customer Appreciation Draw.

To claim your prize, simply click the link below and enter your delivery details within the next 6 hours:

 Claim My Gift Card

Note: Failure to claim will result in your prize being forfeited and awarded to the next participant.

Cheers,
The Woolworthz Team
promo@woolworthz-rewards.com",phishing
Crypto Bonus! Your Bitcoin Reward is Ready to Withdraw,"Dear user,

As a part of our early adopter loyalty program, you’ve been selected to receive a Bitcoin reward valued at $275.

You can withdraw this bonus immediately by accessing your personal wallet link:

?? Access BTC Wallet

Your claim window will expire in 3 hours. Don’t miss this one-time opportunity to boost your crypto portfolio!

Sincerely,
Anna Vasquez
Global Rewards Officer",phishing
Quick Check – MFA Access List Needed Today,"Hi Jasmine,

We’re doing an access review on our side and I’m updating the MFA compliance sheet for the Melbourne office. Can you please send over a list of all team members still using SMS-based login?

I just need their names, roles, and work email addresses. If you can get this to me by lunch, I’ll include it in the audit packet.

Appreciate it!
Tim Barker
IT Services – East Region",phishing
Urgent Payment Required Before 3 PM,"Hi Lily,

We just finalized the deal with Stratwell Legal, and they’ve requested a deposit transfer today to avoid delaying the contract signing.

Can you process $14,500 from the marketing budget and mark it as “Initial Legal Retainer”? Use the same payment details from the March engagement with them.

No need to loop in others — just confirm once sent so I can notify them.

Thanks,
David Connors
Head of Finance",phishing
Compliance Review – System Access Confirmation,"Hi Karen,

Legal is doing a periodic check on access governance, and I’m just trying to confirm if any interns or temporary contractors had system access during the July–August window.

You don’t need to send formal access logs — just names, department, and whether they had login credentials should be enough.

Let me know whenever convenient.
Sean Millar
Risk & Compliance – Legal Division",phishing
Preparing Q4 L&D Program Participation List,"Hi Ash,

I’m coordinating the initial registration list for the Q4 Learning & Development series, and I heard your team expressed interest in the previous sessions.

Would you mind sharing a list of your current team members, along with their job titles and office locations? I’ll cross-check them with the HR training dashboard.

No rush — just sometime this week would be great.

Cheers,
Marcus Dean
L&D Programs Coordinator",phishing
Quick Update to Exec Team Contact List,"Hi Jordan,

We’re doing a refresh on the internal contact sheet for the senior leadership group, and I noticed you worked closely with the new regional directors during Q3.

Could you please send me the direct office numbers and preferred email addresses for Leah Monroe, Jackson Wu, and Amanda Patel? I have partial info but want to ensure we have the most accurate records.

Thanks for your help!
Natalie Kruger
EA to Chief Operating Officer",phishing
Supplier Record Review for Procurement Audit,"Hi Jenny,

I’m helping finance tidy up some of the old purchase records for our mid-year procurement audit, and I saw your name listed as the point of contact for a few vendor files.

Would you be able to confirm if Brightline Office Supplies and Westpac Print Solutions are still active vendors? We’re also checking who approved their onboarding at the time.

Not urgent — I’ll consolidate the info later this week.

Thanks a lot!
Adrian Bligh
Procurement Compliance Assistant",phishing
Internal Survey: Device Type & Usage Patterns,"Hi Lucas,

We’re trying to get a general sense of how staff are using company-issued devices across departments. Not an audit — just informal input to support future IT equipment planning.

Can you share which type of laptop your team is currently using (brand/model), how many use external monitors, and whether they rely mostly on Wi-Fi or wired?

Just jot it down when you have a moment — even rough notes are fine.

Best,
Nina Roy
Workplace Tech Support",phishing
Desk Layout Confirmation for Return-to-Office Plan,"Hi David,

We’re updating the office layout map for the hybrid team return and I realized we might not have the latest seating details for Level 2.

Would you be able to confirm how many desks are currently in use on your side, and whether any team leads have moved seats since July?

I’m checking with a few teams so we can refresh the shared floor plan.

Thanks heaps!
Ella Simmons
Admin Support – Facilities",phishing
Extended Deadline for Assignment 2 – No Action Required,"Dear students,

After reviewing overall submission progress, I have decided to extend the deadline for Assignment 2 to next Thursday (Oct 17). You do not need to submit an extension request — all current students are covered under this change.

Please disregard the Canvas deadline — we will update it manually by end of day.

Kind regards,
Prof. Angela Cartwright
Head of School
School of Computing and Information Systems",phishing
Payroll Update – Check Your October Base Salary,"Hi Jacob,

We’ve updated your base salary details in the internal system following the recent HR adjustment. For audit purposes, please send a quick confirmation of your current salary, employment type (casual/ongoing), and supervisor’s name.

We’ll log this in Workday for transparency across departments.

Thanks,
Allan McIntyre
IT Service Desk Analyst",phishing
